,number,keyword,Text,Tidy_Tweets,," 0-apologize, 1-rectify, 2-supportive/helpful, 3-appreciate, 4 - misc.",Rating,"0-neg, 1-neu, 2-pos"
0.629340324,65344,TT, Our thoughts are with you Walter  keep fighting champ  We re in your corner and hope to see you onboard when you re back to full health   ,thought with walter keep fight champ your corner hope onboard when back full health,,,N,
0.189802752,60377,TOM,We ve launched our brand new Investor Relations Briefcase App for iPhone and iPad   you can download it here  http   t co VFOITtAfwz,launch brand investor relat briefcas iphon ipad download here http vfoittafwz,,,N,
0.91869478,1581,AA, We love having you fly with us and will gladly pass on your kudos and recognize Dana for you  #AATeam,love have with will gladli pass your kudo recogn dana #aateam,,,N,
0.502972053,54854,TO, Hello  I am sorry for the inconveniences  Can you please send me in a private message the booking number  e mail address and full name of the passenger who could not take the flight  I will help you to create a claim in our system and investigate your case  Diego,hello sorri inconveni pleas send privat messag book number mail address full name passeng could take flight will help creat claim system investig your case diego,,,U,
0.216358736,22399,BE, Thanks for confirming this with me Emma  I ve taken a look into this for you and I can see that the BE    is delayed due to a technical issue  you re currently estimated to depart at        I am really sorry for this disruption  thank you for your patience    Daisy,thank confirm thi with emma taken look into thi that delay technic issu current estim depart realli sorri thi disrupt thank your patienc daisi,,,H,
0.40952005,15645,AS, We re sorry to hear about any frustration  If you d like to share more please use the link below  amp  also include your confirmation code   Angel https   t co t ooDR  zz,sorri hear about frustrat like share more pleas link below also includ your confirm code angel http oodr,,,U,
0.910300276,45944,LS, Thanks for getting back to us  we would recommend you speaking to our customer service team customer service com who will be able to look into this for you  Thanks  Gee,thank get back would recommend speak custom servic team custom servic will abl look into thi thank,,,H,
0.096877233,5540,AA, We want all of our customers to feel welcome each and every time they fly with us  Please share any additional details via DM ,want custom feel welcom each everi time they with pleas share addit detail,,,H,
0.536602847,45306,LS, Hi Laura  If you don t cancel the individual from the booking  you can split the   kg across the other bags but cannot take another suitcase     Ella,laura cancel individu from book split across other bag cannot take anoth suitcas ella,,,H,
0.13197795,62805,TOM,Family Holiday Association launches     for     campaign to help disadvantaged families take a break  http   t co JEuHZe  It,famili holiday associ launch campaign help disadvantag famili take break http jeuhz,,,N,
0.171452457,12373,AF,     If your query is regarding your trip  please include any references you may have and send it to us via Direct Message  Thank you for your understanding ,your queri regard your trip pleas includ refer have send direct messag thank your understand,,,H,
0.951225543,52094,QF, This isn t what we like to hear Jimmy  Can you please DM your booking reference  full names of passengers and flight details so we can look into this  Zen https   t co K pFuJB Bl,thi what like hear jimmi pleas your book refer full name passeng flight detail look into thi http pfujb,,,U,
0.66816216,811,AA, We re so sorry for the extra travel time today  We appreciate your patience ,sorri extra travel time today appreci your patienc,,,U,
0.806600755,11809,AF, Hello   not a problem  Send us a DM confirming your full name  date of birth  email address and tier level  and we will send you a temporary password  Have a nice day    ,hello problem send confirm your full name date birth email address tier level will send temporari password have nice,,,H,
0.661337866,83304,W6, Hey Jose  since those services are different  you won t be able to change checked in luggage to Wizz Priority Boarding  You can always add the service by accessing your travel plan and adding it ,jose sinc those servic differ abl chang check luggag wizz prioriti board alway servic access your travel plan ad,,,H,
0.967721185,68383,U2, Hi Justin  thanks for getting in touch  I m not actually able to see on my end which aircrafts are operating which flights and which airports  I m not sure if there are any plans for the A    NEO to be stationed at these airports  Thanks  James,justin thank get touch actual abl which aircraft oper which flight which airport sure there plan station these airport thank jame,,,H,
0.66778045,7503,AC, Please DM us your booking details so we may advise   Rose,pleas your book detail advis rose,,,H,
0.169100166,55744,TO, Hi April  it should be possible to check in  Could you send me a DM with your full name  booking number and the problem please  I d like to see what the problem is  Regards  Pim,april should possibl check could send with your full name book number problem pleas like what problem regard,,,H,
0.148972003,34814,FR, Hi  contact us via DM  Tere,contact tere,,,H,
0.533665239,27013,DL, Well  that is embarrassing  John   Please advise the flight  amp  seat number so I may report to cabin maintenance  Thank you for bringing to our attention  HJF,well that embarrass john pleas advis flight seat number report cabin mainten thank bring attent,,,U,
0.766812137,1680,AA, Our goal is for you to always have a terrific experience and we re so sorry for the rudeness  DM your record locator and we ll forward ,goal alway have terrif experi sorri rude your record locat forward,,,U,
0.256945829,31565,EW, We do not offer the service to direct message us on Twitter  Please contact us via our contact form or call us  https   t co  jS  Cx g   Kind regards  Lea,offer servic direct messag twitter pleas contact contact form call http kind regard,,,H,
0.298481609,51469,NK, Hello  We don t like that you ve had a negative experience with us  Please DM your reservation # for assistance  https   t co dd DI TJ t,hello like that neg experi with pleas your reserv assist http,,,U,
0.824708971,19464,BE, It is cloudy today but fairly warm    I aim to help as many people as possible here on social media  do you have any queries I might be able to help you with    Caleb,cloudi today fairli warm help mani peopl possibl here social media have queri might abl help with caleb,,,H,
0.509835807,58858,TOM,RT   Agreed  We had lovely family holidays there this summer      #RiuHeliosParadise #TUI https   t co MUFAxXkHmR,agre love famili holiday there thi summer #riuheliosparadis #tui http mufaxxkhmr,,,N,
0.85607392,7065,AC, Hello Guillaume  we re sorry to hear that  If you need assistance with this  please DM us  We ll see how we can assist from here   Lea,hello guillaum sorri hear that need assist with thi pleas assist from here,,,U,
0.419303285,30276,EW,The Captain and First Officer are still all smiles at the end of a busy week    #WingsFamily https   t co DsAsFDRKR ,captain first offic still smile busi week #wingsfamili http dsasfdrkr,,,N,
0.372235066,1439,AA, We never want to disappoint you  What s going on ,never want disappoint what go,,,U,
0.22641644,60520,TOM,RT   On Dec   th the world will see its   billionth global tourist for the first time in a single year http   t co s zIxBLU,world will billionth global tourist first time singl year http zixblu,,,N,
0.568957401,83070,W6, Hey there  thank you for your suggestion  We re always doing our best to offer new and exciting route and if we have such announcements  they ll be posted on our social platforms and newsletter ,there thank your suggest alway do best offer excit rout have such announc they post social platform newslett,,,N,
0.163578464,78633,VA, Hi Bhash  thank you for confirming  In this case  please continue to liaise directly with our Guest Relations team  as they will be best placed to assist   ST,bhash thank confirm thi case pleas continu liais directli with guest relat team they will best place assist,,,N,
0.336139291,38951,JQ, Hi Natasha  thanks for your tweet  Are you able to provide more details about your experience via DM  so we can assist you further   Regards   Franz,natasha thank your tweet abl provid more detail about your experi assist further regard franz,,,H,
0.50569528,13532,AS, So stressful   I m glad you got to listen to the game coverage at least     Samantha,stress glad listen game coverag least samantha,,,U,
0.107906781,44432,LH, Hello Marcell  the price for a second check in bag up to    kg and the maxium dimensions of     cm on routes to and from the United States is     USD  Please find more information here  https   t co KCdcgCWyHk Alex,hello marcel price second check maxium dimens rout from unit state pleas find more inform here http kcdcgcwyhk alex,,,H,
0.059636698,3547,AA, Thanks so much for your feedback  You never know what could happen ,thank much your feedback never know what could happen,,,N,
0.08019872,18992,B6, That s not what we like to hear  DM us your confirmation code  we d like to issue a small credit for the inconvenience   https   t co xSmyP Lfyg,that what like hear your confirm code like issu small credit inconveni http xsmyp lfyg,,,U,
0.299429116,27110,DL, Hi  thanks for reaching out to us  I apologize for any inconvenience the delay has caused  I see you are on your way  we hope to have another opportunity to regain your confidence  HKC,thank reach apolog inconveni delay caus your hope have anoth opportun regain your confid,,,U,
0.86039567,6394,AA, We re expecting to depart around     a  We ll have you on your way as quickly as we can ,expect depart around have your quickli,,,H,
0.136968509,4291,AA, We re very sorry for the late start today and would like to review your trip when you arrive in DFW  Please send us a DM ,veri sorri late start today would like review your trip when arriv pleas send,,,U,
0.960869582,27673,DL, Hello Jordan  Unfortunately  I do not see any BOS DCA yet on the schedule  Keep checking with us  We only have connections at this time  I am so sorry  TMS,hello jordan unfortun schedul keep check with onli have connect thi time sorri,,,U,
0.717876991,43243,LH, Glad to hear that the check in issue could be resolved  Sincerest apologies for the upset caused earlier   wishing you a lovely flight   Ella,glad hear that check issu could resolv sincerest apolog upset caus earlier wish love flight ella,,,U,
0.955060156,77484,VA, We suggest you speak with our Guest Contact Centre on          to have this amended   LG,suggest speak with guest contact centr have thi amend,,,H,
0.181367924,34985,FR, Hi  contact us via DM in order to assist you better  Tere,contact order assist better tere,,,H,
0.059887095,6190,AA, Our apologies for the delayed reply  If you still need help  please share your travel info via DM ,apolog delay repli still need help pleas share your travel info,,,U,
0.85434743,72502,UA, We can t wait to see you on board  John   HA,wait board john,,,N,
0.415672706,8468,AC, We re glad to hear that  The strategic overbooking of flights is commonplace in the travel industry and practiced by nearly all airlines  It ensures that planes fly at full capacity  and in the vast majority of cases  does not result in travelers being denied boarding   Chris,glad hear that strateg overbook flight commonplac travel industri practic nearli airlin ensur that plane full capac vast major case doe result travel be deni board chri,,,H,
0.505162163,69198,U2, I m sorry to hear about this  Please contact admin com who will be able to help you with this  Thanks  Julie,sorri hear about thi pleas contact admin will abl help with thi thank juli,,,U,
0.550680781,53173,QF, Hi Christy  please DM us your full names  flight details and booking reference so we can best assist  Nat ,christi pleas your full name flight detail book refer best assist,,,H,
0.273286932,86099,WN, Flights are always better with our fluffy four legged friends  Have a great one  Kami   Jen,flight alway better with fluffi four leg friend have great kami,,,N,
0.541550242,26928,DL, Please Direct Message me your confirmation number for this travel  HJW https   t co  iDGBJRMTU,pleas direct messag your confirm number thi travel http idgbjrmtu,,,H,
0.771739668,78558,VA, Sorry to hear this  are you able to specify which airport you re currently at so we can submit this feedback to the team   LG,sorri hear thi abl specifi which airport current submit thi feedback team,,,U,
0.513537792,71208,UA, Ken  we apologize for the delayed response  We thank you for bringing this to our attention  Please let us know if you need any additional assistance   MT,apolog delay respons thank bring thi attent pleas know need addit assist,,,U,
0.149596867,47862,LS, Hey  thanks for your interest  All our current roles can be viewed here  https   t co JDGo vE  M    Sarah,thank your interest current role view here http jdgo sarah,,,H,
0.526245078,34965,FR, Hi  if you need any assistance please contact us DM  Thank you  Ale,need assist pleas contact thank,,,H,
0.829303147,44132,LH, That sounds like good news     Sam,that sound like good news,,,N,
0.797042524,86769,WN, You know it  Thanks for sharing the skies with us  Stacy  We look forward to seeing you again next time   Lauren,know thank share sky with staci look forward see again next time lauren,,,N,
0.209490933,73114,UA, Hey Morgan  you ll want to call MileagePlus directly in regards to this  They can be reached at                 and will be able to explain this further   MP,morgan want call mileageplu directli regard thi they reach will abl explain thi further,,,H,
0.2395389,81560,VY, Sorry for the wait and the inconvenience  Andrea  We will request our team to speed your request up ,sorri wait inconveni andrea will request team speed your request,,,U,
0.562046134,14597,AS, Hi there  You will want to see an agent at the airport  I apologize for the wait   Jordan,there will want agent airport apolog wait jordan,,,U,
0.532040032,21958,BE, I am afraid that this is all the information that I have access too  I do apologise for this however  I appreciate the frustration a delayed flight can cause    Rhys,afraid that thi inform that have access apologis thi howev appreci frustrat delay flight caus rhi,,,U,
0.605973568,22396,BE, I m sorry to advise that I don t have access to that information Emma    Daisy,sorri advis that have access that inform emma daisi,,,U,
0.851560154,86491,WN, We are glad to hear that Janez was able to display her excellent Customer Service and be able to make your delay that much more bearable  Steve  Send us a DM with your confirmation # so we can send Janez the praise she deserves   Gabriel,glad hear that janez abl display excel custom servic abl make your delay that much more bearabl steve send with your confirm send janez prais deserv gabriel,,,N,
0.153015671,12172,AF, value and acknowledge your honest feedback  For security and privacy reasons  we kindly ask you to please send us a direct message so we can look into it  verify and assist you accordingly  We look forward to your response and we remain available  Kind regards     ,valu acknowledg your honest feedback secur privaci reason kindli pleas send direct messag look into verifi assist accordingli look forward your respons remain avail kind regard,,,H,
0.455881009,43577,LH, Thank you for providing me with your feedback ID  This reference number is created by my colleagues from Customer Relations  This department takes care of requests in regards to feedback  compensation etc  However  they are not able to locate your bag   Susi      ,thank provid with your feedback thi refer number creat colleagu from custom relat thi depart take care request regard feedback compens howev they abl locat your susi,,,H,
0.064549052,85759,W6, Hi there  please try using the Wizz Air app to add seats or check in ,there pleas use wizz seat check,,,H,
0.825592327,58698,TOM,RT   Snowy forests   Cosy log cabins   Reindeer   Lapland is the stuff of fairy tales  And don t forget the big man in red   Who d lo ,snowi forest cosi cabin reindeer lapland stuff fairi tale forget,,,N,
0.531393813,5315,AA, It s good to see that you re in the air now and on your way  Thanks for your patience this morning ,good that your thank your patienc thi morn,,,U,
0.331444501,86733,WN, We re sorry for the crazy travel day  We know that s not what you were looking for and we sincerely apologize for the disappointment  What city are you traveling out of and what s your flight #  We d be happy to provide an update   Anna,sorri crazi travel know that what were look sincer apolog disappoint what citi travel what your flight happi provid updat anna,,,U,
0.414537295,60711,TOM,Another great example of our #Backtothefloor initiative   this time from #Greece    https   t co kb  FMrU c,anoth great exampl #backtothefloor initi thi time from #greec http fmru,,,N,
0.695053752,49595,NK, I m so sorry to know about the situation  Kindly DM us and share the confirmation # for proper assistance  https   t co dd DI TJ t,sorri know about situat kindli share confirm proper assist http,,,U,
0.752905379,39163,JQ, Thanks for getting back to us Josh  Are you able to DM us your booking reference instead along with your full name  We do not recommend posting confidential information such as booking references so we highly recommend for you to delete your tweet  Regards  Franz,thank get back josh abl your book refer instead along with your full name recommend post confidenti inform such book refer highli recommend delet your tweet regard franz,,,H,
0.298924155,85132,W6, Hi there  please give us a call so our colleagues can check your reservation and give you more information  Thank you  https   t co th YMTeRwK,there pleas give call colleagu check your reserv give more inform thank http ymterwk,,,H,
0.751467667,11947,AF, We can understand your sentiment and we regret that this has happened to your recent journey  John  However  please know that the final say in transporting hand baggage remains with our airport staff  On our end  we can only confirm that our hand baggage weight allowance    ,understand your sentiment regret that thi happen your recent journey john howev pleas know that final transport hand baggag remain with airport staff onli confirm that hand baggag weight allow,,,U,
0.22019681,30628,EW, Since your emails bounce back regardless of the email address we ask you to use  it seems like there s an issue with your email provider  Please try emailing us from another email address  Best  Atilla,sinc your email bounc back regardless email address seem like there issu with your email provid pleas email from anoth email address best atilla,,,H,
0.739643933,48547,NK, Hi Haris  we re sorry about that  Your friend is welcome to DM us so we can assist better  Thanks ,hari sorri about that your friend welcom assist better thank,,,U,
0.791072993,12588,AF,     You can request a new Flying Blue card or print a copy of your card via this link https   t co gpp rxcsXF  If you are an iPhone user  you can also add your Flying Blue Card to the Wallet app  We remain available for further assistance ,request fli blue card print copi your card thi link http rxcsxf iphon user also your fli blue card wallet remain avail further assist,,,H,
0.652909991,54455,QF, We can t wait to make you feel at home onboard Amber  Don t hesitate to let our crew know if there s anything they can do to make your journey more comfortable    Zen,wait make feel home onboard amber hesit crew know there anyth they make your journey more comfort,,,H,
0.579780169,70736,UA, Thanks for the shout out  We re always working to improve your flight experience  and we appreciate the kind words   RX,thank shout alway work improv your flight experi appreci kind word,,,N,
0.78356315,26247,DL, Thank you   One moment please  HML,thank moment pleas,,,N,x
0.75204017,15106,AS, Oh no   Please send me your confirmation code so I can take a look at everything    Carrie https   t co t ooDR  zz,pleas send your confirm code take look everyth carri http oodr,,,U,
0.228429707,28265,DL, Oh no  I m so sorry about that Breana  To protect the security of your reservation  please provide the flight number  travel date  city pair and last name along with either your SkyMiles account number  confirmation number or ticket number via DM  Thank you  TDL https   t co  iDGBJRMTU,sorri about that breana protect secur your reserv pleas provid flight number travel date citi pair last name along with either your skymil account number confirm number ticket number thank http idgbjrmtu,,,U,
0.793390092,292,AA, Baggage Service will look over your request more closely  Connect with them here  https   t co zSdeH  Yqc https   t co c WPmpJSpV ,baggag servic will look over your request more close connect with them here http zsdeh http wpmpjspv,,,H,
0.615843403,11052,AF, Hello  Aaron and thank you for the message  We understand your disappointment and are aware that the seat allocation is important to our passengers  We try to maintain the original seats  but for operational  safety or security reasons  the airline reserves the right to    ,hello aaron thank messag understand your disappoint awar that seat alloc import passeng maintain origin seat oper safeti secur reason airlin reserv right,,,U,
0.506251233,29612,EW, Sun  sun  sun  here it comes     ,here come,,,N,
0.737651071,50492,NK, Hi  No need to worry  we re here to help  Please DM us your reservation info so we can figure out what s going on as quickly as possible  https   t co dd DI TJ t,need worri here help pleas your reserv info figur what go quickli possibl http,,,H,x
0.988236921,34165,FR, Hi  if you need any assistance please contact us DM  Thank you  Ale,need assist pleas contact thank,,,H,
0.725409978,66140,TT, Hi Adam  we re selling one way or round trip flights to Denpasar from Australia only  Apologies for the inconvenience caused ,adam sell round trip flight denpasar from australia onli apolog inconveni caus,,,U,
0.937485518,49922,NK, We want to assist you  We re concerned about the experience you ve had  When you have a chance  please DM us your confirmation number  https   t co dd DI TJ t,want assist concern about experi when have chanc pleas your confirm number http,,,U,
0.461460203,70945,UA, Hi  Samantha  We re awaiting an update as well  and see that the inbound flight is currently scheduled to arrive at      a m  due to air traffic control conditions   KF,samantha await updat well that inbound flight current schedul arriv traffic control condit,,,H,
0.124407539,65638,TT, Hi Kelly  you are still required to print your boarding pass ,kelli still requir print your board pass,,,H,
0.165057263,18828,B6, We re sorry to hear it  Please reach out to an inflight crewmember  There may be something they can do to help ,sorri hear pleas reach inflight crewmemb there someth they help,,,U,
0.45053492,3663,AA, Extra security screening is assigned randomly and we don t have control over the selection  Please work with TSA directly on this ,extra secur screen assign randomli have control over select pleas work with directli thi,,,H,
0.444186303,76436,VA, Thank you for this feedback Troy  We will be sure to pass this feedback on internally   ST,thank thi feedback troy will sure pass thi feedback intern,,,H,
0.407943737,72122,UA, Hello  we are sorry to hear that you had a change occur  Have you been able to speak with an agent   LT,hello sorri hear that chang occur have been abl speak with agent,,,U,
0.71806053,46607,LS, Great to hear  See you all on board again soon   ,great hear board again soon,,,N,
0.663800104,86488,WN, Yikes  I m sorry to hear of the delay  I d be happy to look into it and see what I could do  Could you send me a DM with your confirmation number   Dillon https   t co mQmfkXW oV,yike sorri hear delay happi look into what could could send with your confirm number dillon http mqmfkxw,,,U,
0.526797636,22062,BE, Hi there  thank you for getting in touch  I am sorry to hear that you have not received an answer your question you submitted earlier this week  I must advise that their response time is currently higher than normal at around    days  However we can he    https   t co Gzes mjUDf,there thank get touch sorri hear that have receiv answer your question submit earlier thi week must advis that their respons time current higher than normal around day howev http gze mjudf,,,U,
0.03882133,20646,BE, I appreciate your frustration Nick and I can only reiterate my apologies  I would like to thank you again for your ongoing patience    Daisy,appreci your frustrat nick onli reiter apolog would like thank again your ongo patienc daisi,,,U,
0.186441548,89227,WN, Enjoy a drink on us  Will be looking forward to seeing you onboard soon   Dillon,enjoy drink will look forward see onboard soon dillon,,,N,
0.417298915,10334,AF, Hello Steve  since your tickets are already paid in local currency  VND  only your local Air France reservation team in Vietnam can assist you in regards to your request  We remain available should you need assistance on a different matter  thank you for understanding ,hello steve sinc your ticket alreadi paid local currenc onli your local franc reserv team vietnam assist regard your request remain avail should need assist differ matter thank understand,,,H,
0.22794128,4628,AA, What s going on  DM us your record locator and more details if you need help ,what go your record locat more detail need help,,,H,
0.552861962,42648,LH, Hi Kirankumar  I am sorry for the inconvenience caused  Please call our Service Center https   t co tXXaeaMGbC they can book this for you   Jack,kirankumar sorri inconveni caus pleas call servic center http txxaeamgbc they book thi jack,,,U,
0.744773237,19010,B6, Ah  Thanks for letting us know  Will you DM us so we can share important information with you ,thank let know will share import inform with,,,H,
0.747903595,44260,LH, Sorry to hear about your experience  Should you intent to file an official complaint  kindly use the feedback form on the website to contact Customer Relations  https   t co  MOFLYElac  My colleagues will then investigate the incident   Mac,sorri hear about your experi should intent file offici complaint kindli feedback form websit contact custom relat http moflyelac colleagu will then investig incid,,,U,
0.580722756,54344,QF, Hi Henry  the Team is experiencing a high volume of inquiries at the moment but please feel free to DM us and we d be happy to assist via this channel  Mark https   t co K pFuJB Bl,henri team experienc high volum inquiri moment pleas feel free happi assist thi channel mark http pfujb,,,H,
0.972916098,77593,VA, Hi Bill  VA   on March   is Wi Fi equipped     RM,bill march equip,,,H,
0.368956985,16277,B6, We ll send your message on to our IT department  If you need to make any changes to your reservation  please give us a call at       JETBLUE and one of our crewmembers will be able to assist you  Thanks for your patience   https   t co xSmyP Lfyg,send your messag depart need make chang your reserv pleas give call jetblu crewmemb will abl assist thank your patienc http xsmyp lfyg,,,H,
0.106890896,51365,NK, Hi Erika  we re sorry to hear about your flight delay  Please send us a DM so we can look into this for you,erika sorri hear about your flight delay pleas send look into thi,,,U,
0.078270088,57526,TO, Hello  I am sorry to read you have been offered a lower amount than you have requested  In case you are not satisfied with the outcome please reply via the message from the customer care department since only my colleagues are responsible for handling your claim  Kamila,hello sorri read have been offer lower amount than have request case satisfi with outcom pleas repli messag from custom care depart sinc onli colleagu respons handl your claim kamila,,,U,
0.744015345,10959,AF, for your response and we remain available     ,your respons remain avail,,,N,
0.758561098,32695,FR, Hi  answered via DM  Tere,answer tere,,,H,
0.774580906,70068,UA, Hi there  we apologize for the delay today  If you need any assistance  please let us know   MD,there apolog delay today need assist pleas know,,,U,
0.997881775,40843,JQ, Hi  Sorry to hear about this  Could you send us a DM with your booking reference and the details of what have gone wrong  Thanks   H,sorri hear about thi could send with your book refer detail what have gone wrong thank,,,U,
0.050639352,23911,DE,RT   The new  livery on a Boeing      I really like it  #insightcondor http   t co pXcp lKMcK,liveri boe realli like #insightcondor http pxcp lkmck,,,N,
0.19163256,67167,U2, Hi Lally  thanks for tweeting us  You could  but it would need to go inside your cabin luggage    Stephen,lalli thank tweet could would need insid your cabin luggag stephen,,,H,
0.673920404,2882,AA, We know you have places to be and would love to get an update  Please share the flight number ,know have place would love updat pleas share flight number,,,H,
0.843351944,52727,QF, Hi Will  please feel free to DM us with your booking details so we can take a closer look  Khalid https   t co K pFuJB Bl,will pleas feel free with your book detail take closer look khalid http pfujb,,,H,
0.495293803,47083,LS,  Hi Liam  I ve replied to your private message   Sarah,liam repli your privat messag sarah,,,H,
0.772876477,1572,AA, We d like to take a closer look at this and will need some info from you  Please share your record locator with us via DM ,like take closer look thi will need some info from pleas share your record locat with,,,H,
0.472477482,21492,BE, Hi Chris  thanks for getting in touch  For some time  the number of passengers travelling with hand luggage only  has increased  causing more pressure on the limited space available in overhead lockers and under the seats  The main reason for our sizes    https   t co Z g XtZRH ,chri thank get touch some time number passeng travel with hand luggag onli increas caus more pressur limit space avail overhead locker under seat main reason size http xtzrh,,,H,
0.523208648,43568,LH, Unfortunately I m not able to speed things up here on Facebook  Please accept my apologies  I hope you ll be reunited with your bag soon        Alex,unfortun abl speed thing here facebook pleas accept apolog hope reunit with your soon alex,,,U,
0.591772025,27230,DL, Hi Mike  We apologize for the inconvenience  We sincerely apologize that you had to check a bag that you had no intention of checking  Thank you for advising us on your flight experience  Again  our apologies  TAS,mike apolog inconveni sincer apolog that check that intent check thank advis your flight experi again apolog,,,U,
0.889331977,33674,FR, Hi  sorry for the inconvenience  we would advise you to contact the staff at the airport for further information  Ana,sorri inconveni would advis contact staff airport further inform,,,U,
0.883592292,1645,AA, What s going on  How can we help you ,what go help,,,H,
0.697423005,39388,JQ, Hi Brian  an IT issue affected our airport systems this morning resulting in multiple flights experiencing delays  However  our technicians have worked on the issue and all our systems are now back up and running  and flights operating normally   Camille,brian issu affect airport system thi morn result multipl flight experienc delay howev technician have work issu system back run flight oper normal camil,,,H,
0.155396647,49162,NK, We re awfully sorry to hear about that  Dan  Please DM us your reservation info so we can take a closer look into this ,aw sorri hear about that pleas your reserv info take closer look into thi,,,U,
0.173613006,52179,QF, Hope you have a wonderful flight  Maki    Chandrani,hope have wonder flight maki chandrani,,,N,
0.382558289,3283,AA, We know our elite members enjoy their upgrades  We re sorry they didn t all kick in this time ,know elit member enjoy their upgrad sorri they didn kick thi time,,,U,
0.264544259,8162,AC,  Hello  we re very sorry to hear that your bag has been delayed  We invite you to check for an update by consulting our WebTracer tool found here https   t co WYub YABxB or by contacting our Central Baggage Office at                  Raf,hello veri sorri hear that your been delay invit check updat consult webtrac tool found here http wyub yabxb contact central baggag offic,,,U,
0.311988268,29994,EW, I m sorry for your cancellation  been cancelled as the aircraft intended for your flight can t be operated due to a technical fault  The safety of our passengers is our top priority  Unfortunately  there is no spare aircraft available today  Best  Liam,sorri your cancel been cancel aircraft intend your flight oper technic fault safeti passeng prioriti unfortun there spare aircraft avail today best liam,,,U,
0.018489429,48964,NK, The last thing we want to do is disappoint you  Please send us a DM with your confirmation number and we ll do all we can to make it right ,last thing want disappoint pleas send with your confirm number make right,,,U,
0.765562658,64228,TT, Hi Jarrod  Thanks for reaching out    Please send us a private message if you d like assistance with the status of your flight    Thanks  Andrew,jarrod thank reach pleas send privat messag like assist with statu your flight thank andrew,,,H,
0.515543813,6344,AA, Hooray for CiCi  We ll forward your kind words to our flight attendant leadership  #AATeam,hooray cici forward your kind word flight attend leadership #aateam,,,N,
0.48680092,64733,TT, Hi Kelly  it is standard aviation procedure to use the average male weight and average female weight to assist in estimating the weight of the aircraft  This is consistent across all airlines     Emily,kelli standard aviat procedur averag male weight averag femal weight assist estim weight aircraft thi consist across airlin emili,,,H,
0.743974381,47061,LS, We re sorry to hear this Bob  did you email our team at customer service com to log your complaint and discuss this further  Thanks  Marie,sorri hear thi email team custom servic your complaint discuss thi further thank mari,,,U,
0.492350146,52943,QF,Being rewarded for your business travel is just one of the reasons for flying with us    Learn more about flying with us  gt  gt  https   t co   VchsmMqz https   t co Eiqdbfwik ,be reward your busi travel just reason fli with learn more about fli with http vchsmmqz http eiqdbfwik,,,N,
